ID,timestamp,latitude,longitude,temperature,humidity
5246,1420699860,-37.8149218,144.9822582,,62.95
5247,1420700520,-37.8149218,144.9822582,21.29,60.75
5248,1420701120,-37.8149218,144.9822582,21.29,60.59
5249,1420701720,-37.8149218,144.9822582,,64.69
5250,1420702320,-37.8149218,144.9822582,20,68.16
5251,1420702980,-37.8149218,144.9822582,19.67,68
5252,1420703580,-37.8149218,144.9822582,19.67,67.84
5253,1420704180,-37.8149218,144.9822582,19.67,68
5254,1420704780,-37.8149218,144.9822582,19.67,68.16
5255,1420705440,-37.8149218,144.9822582,19.67,68
5256,1420706040,-37.8149218,144.9822582,19.35,67.68
5257,1420706640,-37.8149218,144.9822582,19.03,67.53
5258,1420707300,-37.8149218,144.9822582,,66.74
5259,1420707900,-37.8149218,144.9822582,19.03,66.42
5260,1420708500,-37.8149218,144.9822582,,66.9
5261,1420709100,-37.8149218,144.9822582,18.7,66.26
5262,1420709760,-37.8149218,144.9822582,18.7,66.42
5263,1420710360,-37.8149218,144.9822582,18.7,66.26
5264,1420710960,-37.8149218,144.9822582,18.7,65.95
5265,1420711560,-37.8149218,144.9822582,18.7,65.95
5266,1420712220,-37.8149218,144.9822582,18.06,66.74
5267,1420712820,-37.8149218,144.9822582,18.06,
5268,1420713420,-37.8149218,144.9822582,18.06,66.74
5269,1420714020,-37.8149218,144.9822582,17.74,65
5270,1420714680,-37.8149218,144.9822582,17.74,64.37
5271,1420715280,-37.8149218,144.9822582,17.74,64.06
5272,1420715880,-37.8149218,144.9822582,17.74,63.74
5273,1420716540,-37.8149218,144.9822582,17.74,63.9
5274,1420717140,-37.8149218,144.9822582,17.74,63.27
5275,1420717740,-37.8149218,144.9822582,17.41,64.53
5276,1420718340,-37.8149218,144.9822582,17.41,64.85
5277,1420719000,-37.8149218,144.9822582,17.41,64.53
5278,1420719600,-37.8149218,144.9822582,17.41,65.16
5279,1420720200,-37.8149218,144.9822582,17.41,65.16
5280,1420720800,-37.8149218,144.9822582,17.41,65
5281,1420721460,-37.8149218,144.9822582,17.41,65.32
5282,1420722060,-37.8149218,144.9822582,16.77,67.53
5283,1420722660,-37.8149218,144.9822582,16.77,67.53
5284,1420723260,-37.8149218,144.9822582,16.45,68.94
5285,1420723920,-37.8149218,144.9822582,16.12,70.99
5286,1420724520,-37.8149218,144.9822582,16.12,71.62
5287,1420725120,-37.8149218,144.9822582,16.45,72.41
5288,1420725780,-37.8149218,144.9822582,16.12,72.1
5289,1420726380,-37.8149218,144.9822582,16.12,72.1
5290,1420726980,-37.8149218,144.9822582,15.8,71.47
5291,1420727580,-37.8149218,144.9822582,,71.15
5292,1420728240,-37.8149218,144.9822582,16.45,70.84
